TÊN THỨC ĂN,Calories (kcal),Protein (g),Fat (g),Carbonhydrates (g),Chất xơ (g),Cholesterol (mg),Canxi (mg),Photpho (mg),Sắt (mg),Natri (mg),Kali (mg),Beta Caroten (mcg),Vitamin A (mcg),Vitamin B1 (mg),Vitamin C (mg),Loại
Cá mỡ,151,"16,8","9,3","0,0","0,0",0,42,"173,0","1,4",0,0,0,"30,0","0,08","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá nạc,80,"17,5","1,1","0,0","0,0",0,42,"173,0","1,4",0,0,0,"0,0","0,06","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá ngừ,87,"21,0","0,3","0,0","0,0",0,44,"206,0","1,0",78,518,0,"5,0","0,02","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá nục,111,"20,2","3,3","0,0","0,0",0,85,"160,0","0,0",0,0,0,"0,0","0,00","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá phèn,104,"15,9","4,5","0,0","0,0",0,40,"50,0","0,0",0,0,0,"0,0","0,00","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá lóc,97,"18,2","2,7","0,0","0,0",0,90,"240,0","0,0",0,0,0,"0,0","0,04","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá rô đồng,126,"19,1","5,5","0,0","0,0",0,26,"151,2","0,3",0,0,0,"0,0","0,00","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá rô phi,100,"19,7","2,3","0,0","0,0",0,50,"147,5","0,5",0,0,0,"0,0","0,00","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá thu,166,"18,2","10,3","0,0","0,0",0,50,"90,0","1,3",110,486,0,"10,0","0,07","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cá trê,173,"16,5","11,9","0,0","0,0",0,20,"210,0","1,0",0,0,0,"93,3","0,10","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cua biển,103,"17,5","0,6","7,0","0,0",0,141,"191,0","3,8",316,322,0,"35,8","0,03","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Cua đồng,87,"12,3","3,3","2,0","0,0",0,5040,"430,0","4,7",0,0,0,"0,0","0,01","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Ghẹ,54,"11,9","0,7","0,0","0,0",0,40,"125,0","0,0",0,0,0,"0,0","0,00","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Hải sâm,90,"21,5","0,3","0,2","0,0",0,118,"22,0","1,4",0,0,0,"102,0","0,01","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Hến,45,"4,5","0,7","5,1","0,0",0,144,"86,0","1,6",0,0,0,"0,0","0,00","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Lươn,94,"20,0","1,5","0,0","0,0",0,35,"164,0","1,0",0,0,0,1800,"0,15","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Mực khô,291,"60,1","4,5","2,5","0,0",0,27,"287,0","5,6",0,0,0,"0,0","0,13","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Mực tươi,73,"16,3","0,9","0,0","0,0",0,14,"150,0","0,6",0,273,0,"0,0","0,01","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Ốc bươu,84,"11,1","0,7","8,3","0,0",0,1310,"64,0","0,0",0,0,0,"0,0","0,00","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Ba khía muối,83,"14,2","2,9","0,0","0,0",0,4820,"330,0","0,0",0,0,0,"0,0","0,00","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Sò,51,"8,8","0,4","3,0","0,0",0,37,"82,0","1,9",380,223,0,"52,5","0,03","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Tép gạo,58,"11,7","1,2","0,0","0,0",0,910,"218,0","0,0",0,0,0,"0,0","0,00","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Tôm biển,82,"17,6","0,9","0,9","0,0",0,79,"184,0","1,6",0,0,5,"20,0","0,04","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Tôm đồng,90,"18,4","1,8","0,0","0,0",200,1120,"150,0","2,2",418,316,0,"15,0","0,02","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Tôm khô,347,"75,6","3,8","2,5","0,0",0,236,"995,0","4,6",0,0,0,"0,0","0,16","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Bánh phồng tôm,676,"1,6","59,2","34,1","0,0",0,175,"30,0","0,0",0,0,0,"0,0","0,00","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Chà bông cá lóc,312,"65,7","4,1","3,0","0,0",0,26,"654,0","0,0",0,0,0,"0,0","0,00","0,0",THỦY SẢN VÀ SẢN PHẨM CHẾ BIẾN
Trứng gà,166,"14,8","11,6","0,5","0,0",600,55,"210,0","2,7",158,176,281,"700,0","0,16","0,0",TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Lòng đỏ trứng gà,327,"13,6","29,8","1,0","0,0",1790,134,"532,0","7,0",108,169,578,"960,0","0,32","0,0",TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Lòng trắng trứng gà,46,"10,3","0,1","1,0","0,0",0,19,"16,0","0,3",215,172,0,"0,0","0,01","0,0",TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Trứng vịt,184,"13,0","14,2","1,0","0,0",600,71,"210,0","3,2",191,258,185,"360,0","0,15","0,0",TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Lòng đỏ trứng vịt,368,"13,6","32,3","4,8","0,0",1790,146,"328,0","5,6",0,0,695,1625,"0,54","0,0",TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Lòng trắng trứngvịt,50,"10,7","0,1","0,8","0,0",0,6,"8,0","0,0",0,0,0,"0,0","0,00","0,0",TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Trứng vịt lộn,182,"13,6","12,4","4,0","0,0",600,82,"212,0","3,0",0,0,435,"875,0","0,12","3,0",TRỨNG VÀ SẢN PHẨM CHẾ BIẾN
Sữa bò tươi,74,"3,9","4,4","4,8","0,0",30,120,"95,0","0,1",380,0,22,"50,0","0,05","1,0",SỮA VÀ SẢN PHẨM CHẾ BIẾN
Sữa mẹ,61,"1,5","3,0","7,0","0,0",0,34,"15,0",0.1,15,41,30,"90,0","0,01","6,0",SỮA VÀ SẢN PHẨM CHẾ BIẾN
Thơm hộp,56,"0,3","0,0","13,7","0,2",0,20,"12,0","0,3",0,0,10,"0,0","0,06","14,0",ĐỒ HỘP
Đậu phộng chiên,680,"25,7","59,5","10,3","0,0",0,0,"0,0","0,0",0,0,0,"0,0","0,00","0,0",ĐỒ HỘP
Mứt thơm,208,"0,5","0,0","51,5","0,4",0,20,"16,0","0,3",0,0,20,"0,0","0,09","13,0",ĐỒ HỘP
Mứt đu đủ,178,"0,4","0,0","44,1","2,0",0,24,"30,0","0,0",0,0,0,"0,0","0,00","0,0",ĐỒ HỘP
Nhãn hộp,62,"0,5","0,0","15,0","1,0",0,12,"230,0","0,3",0,0,0,"0,0","0,00","32,0",ĐỒ HỘP
Nước thơm,39,"0,3","0,0","9,4","0,4",0,32,"12,0","0,3",0,0,0,"0,0","0,04","41,0",ĐỒ HỘP
Vải hộp,60,"0,4","0,0","14,7","1,1",0,8,"160,0","0,6",0,0,0,"0,0","0,00","10,0",ĐỒ HỘP
Cá thu hộp,207,"24,8","12,0","0,0","0,0",0,50,"260,0","1,6",0,0,0,"0,0","0,02","0,0",ĐỒ HỘP
Cá trích hộp,233,"22,3","14,4","3,5","0,0",52,86,"437,0","2,3",0,0,0,"28,0","0,02","0,0",ĐỒ HỘP
Thịt bò hộp,251,"16,4","20,6","0,0","0,0",85,13,"250,0","2,9",0,0,0,"0,0","0,00","0,0",ĐỒ HỘP
Thịt gà hộp,273,"17,0","22,8","0,0","0,0",120,108,"138,0","2,8",0,0,0,"520,0","0,09","0,0",ĐỒ HỘP
Thịt heo hộp,344,"17,3","29,3","2,7","0,0",60,9,"200,0","1,2",0,0,0,"0,0","0,19","0,0",ĐỒ HỘP
Bánh mì khô,346,"12,3","1,3","71,3","0,8",0,39,"231,0","2,7",0,0,13,"86,0","0,36","0,0","ĐỒ NGỌT (ĐƯỜNG, BÁNH, MỨT, KẸO)"
